# generated 2026-08-19T03:25:44.653Z
sheet	race	group	category	unit	kind	source	model	bench_lo	bench_hi	bench_raw	note	bench_note
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	headline	total (all sources on)	256022					
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	weapon	weapon	232368	228640	231234	228640-231234		Main attack + DoT that cannot be separated
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	ability	+ Flame Arc	924	10376	12105	10376-12105	sustained dps	Flame Arc, autocast
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	ability	+ Flame Pulse	12848	86203	90155	86203-90155	sustained dps	Flame Pulse, autocast
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	ability	+ Fahrenheit 451	9883	77612	77908	77612-77908	sustained dps	Fahrenheit 451 (during uptime)
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	self-buff	+ Vigor Boost (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Prometheus Company	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	headline	total (all sources on)	422721					
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	weapon	weapon	120810	120800	120800	120800		
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	ability	+ Stench Wave	10295	18530	18530	18530	sustained dps	Putriid Gas/Stench Wave
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	bench-only	Outhouse, stabilized at 18530		17750	18686	17750-18686	needs model	Outhouse, stabilized at 18530
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	bench-only	Festering Maggots (4)		78464	78464	78464	needs model	Festering Maggots (4)
Sheet2	Terran	Terran Heroes	Starting Hero	Tauren Space Marine	bench-only	Explosive Finish, single hit		49414	49414	49414	needs model	Explosive Finish, single hit
Sheet2	Terran	Terran Heroes	Starting Hero	Tychus Findlay	headline	total (all sources on)	481632					
Sheet2	Terran	Terran Heroes	Starting Hero	Tychus Findlay	weapon	weapon	481632	57216	57216	57216		Adds stacks of Minigun
Sheet2	Terran	Terran Heroes	Starting Hero	Tychus Findlay	toggle	+ Equip Experimental Rocket Launcher (toggle DoT)		481632	481632	481632	needs model	Swap to Rocket Launcher weapon (benched without energy limit)
Sheet2	Terran	Terran Heroes	Starting Hero	Tychus Findlay	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Tychus Findlay	bench-only	Power Lunge, single hit		66094	66094	66094	needs model	Power Lunge, single hit
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	headline	total (all sources on)	452774					
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	weapon	weapon	246447	246442	246442	246442		
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	ability	+ Shreddin' Lead		371325	380834	371325-380834	needs model	Add Shreddin' Lead ability
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	ability	+ Napalm		246012	247988	246012-247988	needs model	Napalm autocast
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	ability	+ Precision Strike	452774	446863	458567	446863-458567	weapon + ability (cumulative)	Add Precision Strike ability
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	bench-only	ARES [W]	441656	435735	447449	435735-447449	extra	
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	bench-only	Sometimes 178016, angle dependent due to overlap of search areas?		133512	133512	133512	needs model	Sometimes 178016, angle dependent due to overlap of search areas?
Sheet2	Terran	Terran Heroes	Starting Hero	A.R.E.S.	bench-only	Burning Fuel (trail)		354	354	354	needs model	Burning Fuel (trail)
Sheet2	Terran	Terran Heroes	Starting Hero	T-280 SCV	headline	total (all sources on)	148974					
Sheet2	Terran	Terran Heroes	Starting Hero	T-280 SCV	weapon	weapon					no weapon (caster/support)	
Sheet2	Terran	Terran Heroes	Starting Hero	T-280 SCV	summon	+ Prototype Siege Turret	40859	40853	40853	40853	per-summon; sustained 148974 (avg 3.65× living)	Prototype Siege Turret (1 spawn)
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	headline	total (all sources on)	269465					
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	weapon	weapon	99612	99605	99605	99605		
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	self-buff	+ System Overdrive Static (self-buff)		208656	208656	208656	todo	Add System Overdrive
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	self-buff	+ System Overdrive Mobile (self-buff)		148578	152984	148578-152984	todo	Add System Overdrive
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	bench-only	Add UAV Reconnaissance		109578	109578	109578	needs model	Add UAV Reconnaissance
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	bench-only	Shock Siege	115337	113735	116320	113735-116320	extra	
Sheet2	Terran	Terran Heroes	Starting Hero	Shock Division	bench-only	Add UAV Reconnaissance		125122	127966	125122-127966	needs model	Add UAV Reconnaissance
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	headline	total (all sources on)	206492					
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	weapon	weapon	71005	70200	71604	70200-71604		With Stimpack
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	ability	+ Concussive Barrage	79473	79472	79472	79472	ability alone (isolated gross)	Concussive Barrage only
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	ability	+ Concussive Barrage	158945	36425	36425	36425	perCast (single hit)	Single hit of Concussive Grenade
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	ability	+ Concussive Grenade	18212				sustained dps (no bench)	
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	ability	+ Mortar Strike	92651	30886	30886	30886	perCast (single hit)	Single hit of Mortar Strike (there are multiple missiles in the ability)
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Aegis Guard	bench-only	Impaler Charge only		75498	83445	75498-83445	needs model	Impaler Charge only
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	headline	total (all sources on)	138977				vs air 38556	
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	weapon	weapon (ground)	138977					
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	weapon	weapon (air)	38556					
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	ability	+ 300mm Strike Cannons	299148	49858	49858	49858	perCast (single hit)	300mm Strike Cannons, per hit
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	ability	+ Explosive Wave	174503	29084	29084	29084	perCast (single hit)	Explosive Wave, single hit damage
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	ability	+ R-36 Missile Bombardment	0				sustained dps (no bench)	
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	ability	+ Tactical Ballistic Missile	33572				sustained dps (no bench)	
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	bench-only	Weapon, all stacks of Pummeling Force		83589	83589	83589	needs model	Weapon, all stacks of Pummeling Force
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	bench-only	R-36, per hit		9972	9972	9972	needs model	R-36, per hit
